# Yulengua 词库 · 西班牙语
# 来源：Instituto Cervantes · Plan Curricular · Nociones específicas A1-A2 + B1-B2
词,释义
pelo,头发
ojo,眼睛
nariz,鼻子
cabeza,头；头部
cara,脸；面孔
brazo,手臂；胳膊
mano,手
dedo,手指；脚趾
pierna,腿
pie,脚
oído,听觉；耳朵（内耳）
muela,臼齿；磨牙
garganta,喉咙
estómago,胃；腹部
espalda,背；后背
ser alto,是高的
ser bajo,是矮的
ser gordo,是胖的
ser delgado,是瘦的
ser guapo,是好看的
ser feo,是难看的
ser rubio,是金发的
ser moreno,是深色头发的
tener el pelo rubio,头发是金色的
tener el pelo moreno,头发是深色的
tener el pelo blanco,头发是白色的
llevar barba,留胡子
llevar bigote,留八字胡
llevar gafas,戴眼镜
tener barba,有胡子
tener bigote,有八字胡
tener gafas,有眼镜
tener los ojos claros,眼睛是浅色的
tener los ojos oscuros,眼睛是深色的
tener los ojos azules,眼睛是蓝色的
tener los ojos verdes,眼睛是绿色的
tener los ojos negros,眼睛是黑色的
tener los ojos marrones,眼睛是棕色的
tener los ojos grandes,眼睛大
tener los ojos pequeños,眼睛小
ser calvo,是秃头的
estar calvo,秃头了
tener el pelo liso,头发是直发
tener el pelo rizado,头发是卷发
tener el pelo largo,头发是长发
tener el pelo corto,头发是短发
llevar una gorra,戴鸭舌帽
llevar un sombrero,戴帽子
llevar un pañuelo,戴头巾
levantarse,起床；站起来
ducharse,淋浴；洗澡
escuchar,听；倾听
lavarse,洗自己；洗漱
peinarse,梳头
afeitarse,刮胡子
andar,走；步行
pasear,散步
correr,跑；奔跑
subir,上；上升
bajar,下；下降
sentarse,坐下
ver,看见；观看
oír,听见
coger,拿；取；乘（交通工具）
hacer ejercicio,做运动
hacer gimnasia,做体操
hacer deporte,做体育锻炼
sexo,性；性别
nacer,出生
crecer,成长；长大
tener un hijo,生一个孩子；有孩子
morir,死亡；去世
simpático,友好的；讨人喜欢的
antipático,不友好的；讨人厌的
inteligente,聪明的；有智慧的
trabajador,勤劳的；工作者
alegre,快乐的；开朗的
serio,严肃的；认真的
tímido,害羞的
sociable,善于交际的
carácter,性格；品格
optimista,乐观的
abierto,开放的；开朗的
reservado,内向的；保守的；有所保留的
tranquilo,平静的；安静的
nervioso,紧张的；神经质的
generoso,慷慨的
egoísta,自私的
amable,友善的；和蔼的
agradable,令人愉快的；亲切的
tolerante,宽容的
estar triste,感到悲伤
estar contento,感到开心
estar enfadado,感到生气
estar nervioso,感到紧张
estar preocupado,感到担心
gustar,喜欢；使……喜欢
encantar,非常喜欢；使着迷
